lookback,batchsize,updates,threshold,numfilters1,numfilters2,numfilters3,AvgTrainRNMSE,AvgTestRNMSE,AvgTestIncRNMSE,AvgTestIncTime
18,25,6,0,16,20,26,0.114678857,0.345174435,0.243189381,0.071021683
18,25,6,0,16,20,28,0.123013701,0.34445326,0.434735223,0.071573922
18,25,6,0,16,20,30,0.107821758,0.33246238,0.290572665,0.071427504
18,25,6,0,16,22,26,0.125767541,0.367142478,0.297805174,0.071174234
18,25,6,0,16,22,28,0.111543711,0.355874499,0.443086788,0.070988292
18,25,6,0,16,22,30,0.108371478,0.349143744,0.265485385,0.071115983
18,25,6,0,16,24,26,0.140571579,0.339945969,0.236962323,0.071244656
18,25,6,0,16,24,28,0.130508919,0.382625338,0.322432519,0.071156341
18,25,6,0,16,24,30,0.127694257,0.337745463,0.275360718,0.071175785
18,25,6,0.1,12,20,26,0.125696266,0.344588865,0.471363222,0.071183791
18,25,6,0.1,12,20,28,0.113134835,0.324678037,0.267164389,0.070691448
18,25,6,0.1,12,20,30,0.115148476,0.327673241,0.224455499,0.07047748
18,25,6,0.1,12,22,26,0.115101304,0.326253932,0.273863616,0.070248273
18,25,6,0.1,12,22,28,0.160901856,0.369763812,0.231297781,0.071049127
18,25,6,0.1,12,22,30,0.110892451,0.345430596,0.460019504,0.07030379
18,25,6,0.1,12,24,26,0.141863877,0.348989301,0.24131301,0.070164626
18,25,6,0.1,12,24,28,0.112610059,0.329419724,0.253681815,0.072634024
18,25,6,0.1,12,24,30,0.140286904,0.355090677,0.244467335,0.072895591
18,25,6,0.1,14,20,26,0.119355091,0.362220122,0.300012434,0.074469415
18,25,6,0.1,14,20,28,0.114459278,0.32909062,0.257553345,0.074112715
18,25,6,0.1,14,20,30,0.160723239,0.331032616,0.250166458,0.073738476
18,25,6,0.1,14,22,26,0.113317846,0.354635589,0.252739857,0.073833927
18,25,6,0.1,14,22,28,0.120913091,0.373165179,0.232296984,0.073944502
18,25,6,0.1,14,22,30,0.111016758,0.339395426,0.236266572,0.073786555
18,25,6,0.1,14,24,26,0.114944874,0.336130323,0.417195866,0.073489618
18,25,6,0.1,14,24,28,0.108423352,0.353061235,0.311130728,0.073564446
18,25,6,0.1,14,24,30,0.124798039,0.355112167,0.25583797,0.073779354
18,25,6,0.1,16,20,26,0.114678857,0.345174435,0.292938874,0.072070688
18,25,6,0.1,16,20,28,0.123013701,0.34445326,0.256591835,0.071942919
18,25,6,0.1,16,20,30,0.107821758,0.33246238,0.2652154,0.072042228
18,25,6,0.1,16,22,26,0.125767541,0.367142478,0.529506908,0.072141037
18,25,6,0.1,16,22,28,0.111543711,0.355874499,0.26880166,0.072521592
18,25,6,0.1,16,22,30,0.108371478,0.349143744,0.369861749,0.070750934
18,25,6,0.1,16,24,26,0.140571579,0.339945969,0.294242582,0.070844587
18,25,6,0.1,16,24,28,0.130508919,0.382625338,0.229645365,0.071209239
18,25,6,0.1,16,24,30,0.127694257,0.337745463,0.239201802,0.070644505
18,25,7,0,12,20,26,0.125696266,0.344588865,0.257051862,0.081979429
18,25,7,0,12,20,28,0.113134835,0.324678037,0.348709528,0.082222665
18,25,7,0,12,20,30,0.115148476,0.327673241,0.243479292,0.082456732
18,25,7,0,12,22,26,0.115101304,0.326253932,0.329237631,0.084876272
18,25,7,0,12,22,28,0.160901856,0.369763812,0.29569084,0.084789896
18,25,7,0,12,22,30,0.110892451,0.345430596,0.24777044,0.085364757
18,25,7,0,12,24,26,0.141863877,0.348989301,0.224470299,0.084222839
18,25,7,0,12,24,28,0.112610059,0.329419724,0.277329016,0.084701633
18,25,7,0,12,24,30,0.140286904,0.355090677,0.238743549,0.084630119
18,25,7,0,14,20,26,0.119355091,0.362220122,0.262763062,0.085262145
18,25,7,0,14,20,28,0.114459278,0.32909062,0.313992005,0.085986887
18,25,7,0,14,20,30,0.160723239,0.331032616,0.259459055,0.085790188
18,25,7,0,14,22,26,0.113317846,0.354635589,0.333498508,0.085107653
18,25,7,0,14,22,28,0.120913091,0.373165179,0.285872613,0.084508069
18,25,7,0,14,22,30,0.111016758,0.339395426,0.328167415,0.084703327
18,25,7,0,14,24,26,0.114944874,0.336130323,0.365110122,0.084861986
18,25,7,0,14,24,28,0.108423352,0.353061235,0.359889576,0.084641008
18,25,7,0,14,24,30,0.124798039,0.355112167,0.231518328,0.084822289
18,25,7,0,16,20,26,0.114678857,0.345174435,0.245840223,0.084175303
18,25,7,0,16,20,28,0.123013701,0.34445326,0.323102448,0.084604629
18,25,7,0,16,20,30,0.107821758,0.33246238,0.336012442,0.081943385
18,25,7,0,16,22,26,0.125767541,0.367142478,0.302411213,0.081910426
18,25,7,0,16,22,28,0.111543711,0.355874499,0.292062275,0.082199649
18,25,7,0,16,22,30,0.108371478,0.349143744,0.292432297,0.082819748
18,25,7,0,16,24,26,0.140571579,0.339945969,0.358646837,0.08252403
18,25,7,0,16,24,28,0.130508919,0.382625338,0.269883583,0.082790827
18,25,7,0,16,24,30,0.127694257,0.337745463,0.283244371,0.083059688
18,25,7,0.1,12,20,26,0.125696266,0.344588865,0.326947629,0.082228588
18,25,7,0.1,12,20,28,0.113134835,0.324678037,0.268847931,0.0810033
18,25,7,0.1,12,20,30,0.115148476,0.327673241,0.335058696,0.081952648
18,25,7,0.1,12,22,26,0.115101304,0.326253932,0.254086665,0.081521878
18,25,7,0.1,12,22,28,0.160901856,0.369763812,0.230575162,0.082117768
18,25,7,0.1,12,22,30,0.110892451,0.345430596,0.262048443,0.084957583
18,25,7,0.1,12,24,26,0.141863877,0.348989301,0.252104998,0.084935894
18,25,7,0.1,12,24,28,0.112610059,0.329419724,0.248569128,0.084374774
18,25,7,0.1,12,24,30,0.140286904,0.355090677,0.243663893,0.084947665
18,25,7,0.1,14,20,26,0.119355091,0.362220122,0.297812486,0.084643208
18,25,7,0.1,14,20,28,0.114459278,0.32909062,0.27159248,0.084333555
18,25,7,0.1,14,20,30,0.160723239,0.331032616,0.295105336,0.085330207
